PlayerId	Team	Since	Till
1	Nordis Team	2021-01-16	2021
1	Team ESCA Gaming	2021-06-07	2021
1	GOEXANIMO	2021-08-09	2021
1	Forsaken	2022-01-03	2022
1	GGEsports	2022-05-24	2022
1	Maturalni Forsaken	2022-12-16	2023
1	Maturalni Forsaken	2023-05-08	2023
2	ASUS ROG ELITE	2018-06-28	2019
2	QLASH Forge	2019-05-22	2019
2	ad hoc gaming	2019-10-02	2019
2	SK Gaming	2019-12-16	2020
2	Schalke 04	2020-11-20	2021
2	Team BDS	2021-12-20	2023
2	Excel	2023-03-08	2023-11-19
3	Ascension Gaming	2016-10-07	2017
3	GAM Esports	2017-05-25	2018
3	EVOS Esports	2019-02-28	2019
3	Academy SBTC	2019-10-02	2020
3	GAM Esports	2020-04-29	2023-11-19
3	SBTC Esports	2020-12-08	2023-11-19
3	SBTC Esports	2020-12-08	2021
3	SBTC Esports	2021-04-25	2021
3	Rainbow Warriors	2023-11-04	2023-11-19
4	Gunrunners	2015-06-09	2015
4	Cyborg Factory	2015-10-31	2023-11-19
4	Fraternitas	2016-01-29	2016
4	Majestic Lions	2016-05-10	2023-11-19
4	eSuba	2016-11-10	2023-11-19
4	Inside Games	2017-05-05	2017
4	eXtatus	2017-07-10	2018
4	Oyun Hizmetleri	2018-07-15	2018
4	eSuba	2018-08-06	2019
4	OP innogy	2019-09-18	2023-11-19
4	Vikingekrig Esports	2019-08-02	2019
4	AS Trenčín	2019-08-16	2019
4	PENTA 1860	2019-09-18	2019
4	Phelan Gaming	2020-01-23	2020
4	Repre Gold	2020-05-28	2020
4	Team Sampi	2020-06-15	2020
4	AeQ E-Sports	2020-09-08	2020
4	S2V Esports	2021-03-02	2021
4	Dusty	2021-05-26	2021
4	IKISEQ Gaming	2023-01-10	2023
4	Team ESCA Gaming	2023-05-17	2023
4	Maturalni Forsaken	2023-11-04	2023-11-19
5	devils.one	2020-06-18	2021
5	piratesports	2021-01-31	2021
5	piratesports	2021-06-05	2021
5	Gentlemen's Gaming	2022-01-04	2022
5	Iron Wolves	2022-12-16	2023
5	Team ESCA Gaming	2023-05-17	2023
5	Maturalni Forsaken	2023-11-04	2023-11-19
6	Cowboy Squad	2020-05-15	2020
6	Rejects Gaming	2020-06-22	2020
6	The Spawn	2020-08-02	2020
6	Anorthosis Famagusta	2020-10-10	2020
6	Different Dimension	2020-11-24	2020
6	The Spawn	2021-02-20	2021
6	Umbra Divinus	2021-05-16	2021
6	Hive Athens	2021-09-15	2021
6	Gamespace MCE	2021-10-03	2021
6	We Love Gaming	2022-01-05	2022
6	Hell Zerolag Esports	2022-02-14	2022
6	Sector One	2022-06-05	2022
6	Team Mythic	2023-09-26	2023
6	Maturalni Forsaken	2023-11-04	2023-11-19
7	Demise Academy	2021-01-17	2021
7	Umbra Divinus	2021-05-16	2021
7	Exodia Elite	2021-06-15	2021
7	Anorthosis Famagusta	2021-08-20	2021
7	Umbra Divinus	2021-12-11	2022
7	We Love Gaming	2022-01-15	2022
7	Sector One	2022-06-05	2022
7	Panathinaikos AC	2022-12-30	2023
7	Iron Wolves	2023-05-29	2023
7	Maturalni Forsaken	2023-11-04	2023-11-19
8	5 Hydra Esport		2023-11-19
8	Gamespace eSports	2019-05-15	2019
8	The Spawn	2019-10-04	2019
8	Dejice	2020-01-09	2020
8	The Spawn	2020-04-26	2020
8	VG Phenomenon	2020-10-22	2020
8	Rejects Gaming	2021-01-22	2023-11-19
8	Demise Academy	2021-02-25	2023-11-19
8	Exodia Elite	2021-05-16	2023-11-19
8	Umbra Divinus	2021-05-16	2021
8	Method2Madness	2021-12-06	2021
8	Method2Madness	2022-01-10	2022
8	Method2Madness	2022-05-21	2022
8	Gamespace MCE	2023-01-03	2023
8	Maturalni Forsaken	2023-05-08	2023-11-19
9	Klanik Esport	2022-01-07	2022
9	ZennIT	2023-11-04	2023-11-19
10	ZennIT	2023-01-23	2023
10	ZennIT	2023-11-04	2023-11-19
11	ZennIT	2023-06-06	2023-11-19
11	Once Upon A Team	2023-09-18	2023
12	Fenerbahçe	2019-12-10	2022
12	Fenerbahçe Academy	2019-12-10	2022
12	Ruddy Esports	2023-01-24	2023
12	Cyberground	2023-05-31	2023
12	Papara SuperMassive	2023-11-04	2023-11-19
13	ACTINA PACT	2019-05-31	2019
13	Together Esports	2019-11-15	2023-11-19
13	Gentlemen's Gaming	2020-06-08	2020
13	Komputronik H34T	2020-06-27	2020
13	Team Singularity	2020-10-08	2020
13	devils.one	2021-01-05	2021
13	Illuminar Gaming	2021-05-17	2021
13	JD	2022-01-04	2022
13	UCAM Tokiers	2022-05-11	2022
13	NNO Prime	2022-12-21	2023
13	Guasones	2023-05-18	2023
13	Orbit Anonymo	2023-11-04	2023-11-19
14	Beşiktaş Academy	2019-07-24	2019
14	DP Academy	2019-12-14	2020
14	Galakticos	2021-01-07	2021
14	Grypciocraft	2022-12-16	2023
14	Orbit Anonymo	2023-05-20	2023-11-19
14	Orbit Anonymo	2023-11-04	2023-11-19
15	Revenge	2020-06-09	2020
15	BRUTE	2020-07-23	2020
15	One Piece eSports	2020-10-10	2020
15	Inside Games	2020-11-15	2020
15	Vikingekrig Esports	2021-01-14	2021
15	Goskilla	2021-06-10	2021
15	Dynamo Eclot	2021-09-29	2022
15	Goskilla	2022-12-15	2023
15	Szaty Bobra	2023-02-05	2023
15	Orbit Anonymo	2023-03-08	2023
15	Orbit Anonymo	2023-05-20	2023
15	Orbit Anonymo	2023-11-04	2023-11-19
16	Giants Only The Brave	2017-01-11	2017
16	Katastrofa Awionetki	2017-04-01	2017
16	ThunderX3 Baskonia	2017-07-17	2023-11-19
16	Katastrofa Awionetki	2017-08-06	2017
16	Movistar Riders	2017-08-31	2018
16	G2 Vodafone	2018-01-10	2018
16	Szata Maga	2018-03-30	2018
16	Vodafone Giants	2018-10-11	2018
16	Origen BCN	2019-01-16	2019
16	piratesports	2020-01-17	2020
16	Team Queso	2020-06-03	2020
16	Axolotl	2021-05-18	2021
16	Izi Dream	2022-01-07	2022
16	Goskilla	2022-12-15	2023
16	Szaty Bobra	2023-02-05	2023
16	Orbit Anonymo	2023-03-08	2023
16	Orbit Anonymo	2023-05-20	2023-11-19
16	Orbit Anonymo	2023-11-04	2023-11-19
17	Illuminar Gaming	2020-05-16	2021
17	We Love Gaming	2021-05-21	2021
17	mYinsanity	2021-09-13	2021
17	Iron Wolves	2022-01-04	2022
17	Morning Stars	2022-05-25	2022
17	Goskilla	2022-12-15	2023
17	Szaty Bobra	2023-02-05	2023
17	Orbit Anonymo	2023-03-08	2023
17	Orbit Anonymo	2023-05-20	2023
17	Orbit Anonymo	2023-11-04	2023-11-19
18	Valhalla Vikings	2018-08-02	2018
18	Östersunds FK	2019-01-07	2019
18	MOBA ROG	2019-05-05	2019
18	FALKN	2019-06-14	2019
18	FALKN	2019-06-28	2019
18	Granit Gaming	2019-10-01	2019
18	Illuminar Gaming	2020-01-11	2020
18	Munster Rugby	2020-06-09	2020
18	SK Gaming Prime	2020-12-03	2021
18	MAD Lions	2021-11-23	2022
18	100 Academy	2022-12-05	2023
18	100 Challengers	2023-01-11	2023
18	Evil Geniuses	2023-05-25	2023-11-19
19	First Blood Crusade	2019-06-10	2023-11-19
19	Team Matrix	2019-07-06	2019
19	100 Next	2020-01-27	2020
19	100 Academy	2020-07-21	2021
19	100 Thieves	2021-11-15	2022
19	100 Academy	2022-06-08	2022
19	100 Thieves	2022-12-08	2023
19	100 Thieves	2023-05-13	2023-11-19
20	KT Rolster Bullets	2013-02-27	2013
20	KT Rolster Arrows	2013-10-07	2014
20	KT Rolster	2014-12-02	2016
20	Dignitas	2016-12-15	2017
20	100 Thieves	2017-11-22	2022
20	100 Academy	2019-06-13	2019
20	Evil Geniuses	2022-11-23	2023
20	100 Thieves	2023-05-12	2023-11-19
21	Royal Bandits	2017-01-31	2017
21	Beşiktaş Esports	2017-06-16	2017
21	Royal Bandits	2017-09-18	2018
21	ÇİLEKLER	2017-12-27	2018
21	Royal Youth	2018-11-15	2018
21	Royal Youth	2018-11-24	2019
21	Golden Guardians	2019-11-20	2020
21	100 Thieves	2020-11-16	2023-11-19
22	Millenium Spirit	2015-01-13	2015
22	Imaginary Gaming	2015-06-27	2023-11-19
22	Team-LDLC	2015-11-10	2023-11-19
22	Huma		2023-11-19
22	GrosBill Esport	2016-07-20	2023-11-19
22	Bastille Legacy	2018-09-02	2019
22	Immortals	2019-12-20	2020
22	GameWard	2020-12-21	2021
22	Team BDS Academy	2021-12-22	2022
22	Team BDS	2022-12-20	2023
23	FTV Esports	2020-02-29	2020
23	Saigon Buffalo	2020-05-12	2022
23	CNJ Esports	2022-11-30	2023
23	Saigon Buffalo	2023-02-09	2023
24	Absolute Legends	2013-04-17	2023-11-19
24	Cloud9 Eclipse	2014-01-04	2023-11-19
24	H2k-Gaming	2014-06-01	2017
24	Splyce	2017-11-29	2018
24	Schalke 04	2018-12-12	2020
24	Rogue	2020-11-16	2022
24	Excel	2022-12-12	2023-11-19
25	MVP Ozone	2013-02-12	2013
25	Samsung White	2013-09-06	2014
25	Vici Star Gaming	2014-11-27	2023-11-19
25	Vici Gaming	2015-12-11	2023-11-19
25	RNG	2015-12-11	2016
25	KT Rolster	2016-12-04	2018
25	SK Telecom T1	2018-11-25	2019
25	RNG	2019-12-16	2020
25	Riot Games Inc.	2023-06-04	2023-11-19
26	MiraGe Gaming	2017-05-03	2017
26	DAMWON	2017-05-28	2020
26	DWG KIA	2020-11-19	2021
26	DRX	2021-12-04	2023-11-19
27	compLexity Gaming	2012-01-01	2023-11-19
27	Dignitas	2012-01-01	2012
27	Curse Academy	2013-01-24	2013
27	Curse Academy	2013-07-07	2013
27	Team Curse	2013-10-07	2015
27	Team Liquid	2015-01-06	2023-11-19
27	TL Academy	2016-01-22	2016
27	TL Academy	2016-07-08	2016
27	Team Liquid	2016-07-13	2020
27	Cloud9	2020-08-07	2022
28	SUPA HOT CREW	2014-05-12	2014
28	Gamers2		2023-11-19
28	MeetYourMakers	2014-12-08	2015
28	Roar	2015-01-21	2015
28	Gravity	2015-02-19	2015
28	Tempo Storm	2017-05-16	2023-11-19
28	CLG	2018-11-30	2020
28	bbq Olivers	2018-12-13	2019
28	XYZ	2019-11-21	2019
28	T1	2020-11-24	2021
28	Cloud9	2021-12-01	2022
28	FlyQuest	2023-03-22	2023-11-19
29	compLexity Gaming		2023-11-19
29	Cloud9	2013-02-11	2013
29	Quantic Gaming	2013-04-01	2013
29	Cloud9	2013-05-23	2017
29	Cloud9 Challenger	2015-08-22	2015
29	Phoenix1	2017-02-16	2017
29	100 Thieves	2017-11-22	2018
29	FlyQuest Academy	2018-07-01	2018
29	OpTic Gaming	2018-11-27	2019
29	OpTic Academy	2019-01-31	2019
29	Immortals	2019-10-09	2019
29	100 Thieves	2019-11-19	2020
29	100 Academy	2020-07-02	2020
29	Cloud9	2023-08-15	2023-11-19
30	Ordinance Gaming	2012-04-29	2012
30	Absolute Legends NA	2012-06-20	2012
30	Pulse Esports	2012-09-28	2013
30	Dignitas	2013-02-03	2013
30	Quantic Gaming	2013-04-06	2013
30	Cloud9	2013-05-23	2020
30	C9 Academy	2018-06-13	2018
30	Cloud9	2020-01-15	2023-11-19
31	CLG		2023-11-19
31	Epik Gamer	2011-05-01	2011
31	unRestricted eSports	2011-08-25	2023-11-19
31	Team Curse	2011-08-25	2011
31	CLG	2011-11-23	2015
31	TSM	2015-10-31	2017
31	Team Liquid	2017-03-07	2017
31	Team Liquid	2017-11-24	2020
31	TSM	2020-04-26	2020
31	TSM	2021-03-10	2021
31	100 Thieves	2022-12-08	2023-11-19
32	Team ALTERNATE		2023-11-19
32	Giants Gaming	2015-07-22	2015
32	Giants Underdoges	2015-08-10	2015
32	Renegades: Banditos	2016-01-07	2016
32	Renegades	2016-01-07	2016
32	Copenhagen Wolves	2016-03-01	2016
32	Huma	2016-06-03	2016
32	ThunderX3 Baskonia	2016-07-27	2016
32	H2k-Gaming	2017-01-03	2017
32	Schalke 04	2017-05-22	2017
32	H2k-Gaming	2017-12-13	2018
32	Diabolus Esports	2018-03-03	2018
32	Ninjas in Pyjamas	2018-04-11	2018
32	Team-LDLC	2018-05-05	2018
32	H2k-Gaming	2018-07-17	2018
32	Excel	2018-12-02	2020
32	Riot Games Inc.	2021-01-18	2023
32	Excel	2022-02-28	2022
33	Copenhagen Wolves	2016-01-22	2016
33	Tricked Esport	2016-01-31	2023-11-19
33	Celestial Gaming	2016-05-02	2016
33	Epiphany Bolt	2016-10-18	2023-11-19
33	Fnatic Academy	2016-11-30	2017
33	Fnatic	2017-02-06	2019
33	Team Liquid	2019-11-19	2020
33	CLG	2020-11-17	2021
33	Team Liquid	2022-01-11	2023-11-19
34	Team Mistral	2011-11-13	2023-11-19
34	Western Wolves	2012-01-06	2023-11-19
34	4Kings	2012-05-04	2012
34	Absolute Legends.Alpha	2012-07-12	2012
34	Tt Dragons	2012-08-21	2012
34	Team Solo Mebdi	2013-01-24	2023-11-19
34	H2k-Gaming	2012-11-02	2023-11-19
34	DragonBorns	2013-02-07	2013
34	Heimerdinger's Colossi	2013-05-12	2013
34	against All authority	2013-06-27	2023-11-19
34	Lemondogs	2013-08-10	2013
34	MeetYourMakers	2015-01-10	2015
34	Glacial Phoenix	2015-04-02	2015
34	Team ROCCAT	2015-04-15	2016
34	Splyce	2016-01-03	2017
34	Team Vitality	2017-05-03	2019
